,multi_condo
1980-01-01,
1980-02-01,
1980-03-01,
1980-04-01,
1980-05-01,
1980-06-01,
1980-07-01,
1980-08-01,
1980-09-01,
1980-10-01,
1980-11-01,
1980-12-01,
1981-01-01,
1981-02-01,
1981-03-01,
1981-04-01,
1981-05-01,
1981-06-01,
1981-07-01,
1981-08-01,
1981-09-01,
1981-10-01,
1981-11-01,
1981-12-01,
1982-01-01,
1982-02-01,
1982-03-01,
1982-04-01,
1982-05-01,
1982-06-01,
1982-07-01,
1982-08-01,
1982-09-01,
1982-10-01,
1982-11-01,
1982-12-01,
1983-01-01,
1983-02-01,
1983-03-01,
1983-04-01,
1983-05-01,
1983-06-01,
1983-07-01,
1983-08-01,
1983-09-01,
1983-10-01,
1983-11-01,
1983-12-01,
1984-01-01,
1984-02-01,
1984-03-01,
1984-04-01,
1984-05-01,
1984-06-01,
1984-07-01,
1984-08-01,
1984-09-01,
1984-10-01,
1984-11-01,
1984-12-01,
1985-01-01,
1985-02-01,
1985-03-01,
1985-04-01,
1985-05-01,
1985-06-01,
1985-07-01,
1985-08-01,
1985-09-01,
1985-10-01,
1985-11-01,
1985-12-01,
1986-01-01,
1986-02-01,
1986-03-01,
1986-04-01,
1986-05-01,
1986-06-01,
1986-07-01,
1986-08-01,
1986-09-01,
1986-10-01,
1986-11-01,
1986-12-01,
1987-01-01,
1987-02-01,
1987-03-01,
1987-04-01,
1987-05-01,
1987-06-01,
1987-07-01,
1987-08-01,
1987-09-01,
1987-10-01,
1987-11-01,
1987-12-01,
1988-01-01,
1988-02-01,
1988-03-01,
1988-04-01,
1988-05-01,
1988-06-01,0.0
1988-07-01,0.0
1988-08-01,0.0
1988-09-01,0.0
1988-10-01,0.0
1988-11-01,0.0
1988-12-01,0.0
1989-01-01,0.0
1989-02-01,0.0
1989-03-01,0.0
1989-04-01,0.0
1989-05-01,0.0
1989-06-01,0.0
1989-07-01,42.0
1989-08-01,0.0
1989-09-01,0.0
1989-10-01,0.0
1989-11-01,0.0
1989-12-01,4.0
1990-01-01,77.0
1990-02-01,31.0
1990-03-01,0.0
1990-04-01,0.0
1990-05-01,229.0
1990-06-01,67.0
1990-07-01,14.0
1990-08-01,199.0
1990-09-01,46.0
1990-10-01,41.0
1990-11-01,61.0
1990-12-01,0.0
1991-01-01,0.0
1991-02-01,4.0
1991-03-01,34.0
1991-04-01,0.0
1991-05-01,5.0
1991-06-01,28.0
1991-07-01,4.0
1991-08-01,18.0
1991-09-01,19.0
1991-10-01,12.0
1991-11-01,38.0
1991-12-01,14.0
1992-01-01,5.0
1992-02-01,0.0
1992-03-01,52.0
1992-04-01,57.0
1992-05-01,77.0
1992-06-01,58.0
1992-07-01,31.0
1992-08-01,87.0
1992-09-01,24.0
1992-10-01,33.0
1992-11-01,38.0
1992-12-01,104.0
1993-01-01,57.0
1993-02-01,91.0
1993-03-01,81.0
1993-04-01,98.0
1993-05-01,75.0
1993-06-01,65.0
1993-07-01,88.0
1993-08-01,25.0
1993-09-01,72.0
1993-10-01,115.0
1993-11-01,95.0
1993-12-01,96.0
1994-01-01,17.0
1994-02-01,7.0
1994-03-01,43.0
1994-04-01,92.0
1994-05-01,36.0
1994-06-01,52.0
1994-07-01,155.0
1994-08-01,219.0
1994-09-01,201.0
1994-10-01,306.0
1994-11-01,123.0
1994-12-01,121.0
1995-01-01,32.0
1995-02-01,21.0
1995-03-01,52.0
1995-04-01,115.0
1995-05-01,40.0
1995-06-01,70.0
1995-07-01,288.0
1995-08-01,148.0
1995-09-01,55.0
1995-10-01,121.0
1995-11-01,80.0
1995-12-01,98.0
1996-01-01,14.0
1996-02-01,63.0
1996-03-01,134.0
1996-04-01,44.0
1996-05-01,68.0
1996-06-01,78.0
1996-07-01,33.0
1996-08-01,121.0
1996-09-01,142.0
1996-10-01,96.0
1996-11-01,83.0
1996-12-01,187.0
1997-01-01,26.0
1997-02-01,248.0
1997-03-01,256.0
1997-04-01,192.0
1997-05-01,163.0
1997-06-01,128.0
1997-07-01,246.0
1997-08-01,149.0
1997-09-01,111.0
1997-10-01,159.0
1997-11-01,190.0
1997-12-01,265.0
1998-01-01,113.0
1998-02-01,499.0
1998-03-01,118.0
1998-04-01,193.0
1998-05-01,263.0
1998-06-01,176.0
1998-07-01,214.0
1998-08-01,226.0
1998-09-01,146.0
1998-10-01,299.0
1998-11-01,224.0
1998-12-01,482.0
1999-01-01,378.0
1999-02-01,224.0
1999-03-01,249.0
1999-04-01,257.0
1999-05-01,125.0
1999-06-01,380.0
1999-07-01,329.0
1999-08-01,330.0
1999-09-01,233.0
1999-10-01,383.0
1999-11-01,334.0
1999-12-01,266.0
2000-01-01,228.0
2000-02-01,256.0
2000-03-01,262.0
2000-04-01,433.0
2000-05-01,368.0
2000-06-01,193.0
2000-07-01,234.0
2000-08-01,260.0
2000-09-01,330.0
2000-10-01,466.0
2000-11-01,468.0
2000-12-01,359.0
2001-01-01,226.0
2001-02-01,163.0
2001-03-01,216.0
2001-04-01,334.0
2001-05-01,323.0
2001-06-01,294.0
2001-07-01,243.0
2001-08-01,286.0
2001-09-01,162.0
2001-10-01,259.0
2001-11-01,368.0
2001-12-01,120.0
2002-01-01,175.0
2002-02-01,343.0
2002-03-01,164.0
2002-04-01,295.0
2002-05-01,249.0
2002-06-01,563.0
2002-07-01,119.0
2002-08-01,671.0
2002-09-01,440.0
2002-10-01,578.0
2002-11-01,461.0
2002-12-01,165.0
2003-01-01,164.0
2003-02-01,914.0
