reference_period,ref_qq,metcode,metro,FSA,dweltype,mkttycd,inventory,num_structures,unitsperstructure,avgstorycnt
1988-06-01,2,0140,Calgary,nan,2.0,1.0,5.0,4,1.25,0.0
1988-06-01,2,0140,Calgary,nan,5.0,3.0,2.0,1,2.0,26.0
1988-06-01,2,0140,Calgary,nan,1.0,1.0,165.0,301,0.55,0.0
1988-09-01,3,0140,Calgary,nan,2.0,1.0,11.0,31,0.35,0.0
1988-09-01,3,0140,Calgary,nan,1.0,1.0,124.0,518,0.24,0.0
1988-09-01,3,0140,Calgary,nan,5.0,3.0,2.0,1,2.0,26.0
1988-12-01,4,0140,Calgary,nan,5.0,3.0,2.0,1,2.0,26.0
1988-12-01,4,0140,Calgary,nan,1.0,1.0,95.0,368,0.26,0.0
1988-12-01,4,0140,Calgary,nan,2.0,1.0,14.0,30,0.47,0.0
1988-12-01,4,0140,Calgary,nan,4.0,1.0,7.0,1,7.0,2.0
1989-03-01,1,0140,Calgary,nan,2.0,1.0,15.0,11,1.36,0.0
1989-03-01,1,0140,Calgary,nan,1.0,1.0,128.0,327,0.39,0.0
1989-03-01,1,0140,Calgary,nan,4.0,1.0,3.0,1,3.0,2.0
1989-06-01,2,0140,Calgary,nan,1.0,1.0,219.0,605,0.36,0.0
1989-06-01,2,0140,Calgary,nan,4.0,1.0,3.0,1,3.0,2.0
1989-06-01,2,0140,Calgary,nan,2.0,1.0,11.0,12,0.92,0.0
1989-09-01,3,0140,Calgary,nan,4.0,1.0,2.0,1,2.0,0.0
1989-09-01,3,0140,Calgary,nan,1.0,1.0,274.0,731,0.37,0.0
1989-09-01,3,0140,Calgary,nan,2.0,1.0,14.0,10,1.4,0.0
1989-12-01,4,0140,Calgary,nan,4.0,1.0,14.0,5,2.8,0.0
1989-12-01,4,0140,Calgary,nan,2.0,1.0,24.0,16,1.5,0.0
1989-12-01,4,0140,Calgary,nan,1.0,1.0,325.0,619,0.53,0.0
1990-03-01,1,0140,Calgary,nan,4.0,3.0,1.0,1,1.0,0.0
1990-03-01,1,0140,Calgary,nan,1.0,1.0,404.0,862,0.47,0.0
1990-03-01,1,0140,Calgary,nan,4.0,1.0,1.0,1,1.0,0.0
1990-03-01,1,0140,Calgary,nan,2.0,1.0,20.0,29,0.69,0.0
1990-06-01,2,0140,Calgary,nan,2.0,1.0,26.0,118,0.22,0.0
1990-06-01,2,0140,Calgary,nan,1.0,1.0,513.0,1003,0.51,0.0
1990-06-01,2,0140,Calgary,nan,2.0,3.0,7.0,9,0.78,0.0
1990-06-01,2,0140,Calgary,nan,4.0,3.0,27.0,11,2.45,0.0
1990-06-01,2,0140,Calgary,nan,1.0,3.0,1.0,1,1.0,0.0
1990-06-01,2,0140,Calgary,nan,4.0,1.0,7.0,6,1.17,0.0
1990-06-01,2,0140,Calgary,,1.0,1.0,1.0,1,1.0,0.0
1990-06-01,2,0140,Calgary,nan,5.0,3.0,3.0,1,3.0,0.0
1990-09-01,3,0140,Calgary,nan,1.0,1.0,557.0,1210,0.46,0.0
1990-09-01,3,0140,Calgary,nan,2.0,1.0,17.0,15,1.13,0.0
1990-09-01,3,0140,Calgary,nan,4.0,3.0,36.0,12,3.0,0.0
1990-09-01,3,0140,Calgary,,1.0,1.0,1.0,1,1.0,0.0
1990-09-01,3,0140,Calgary,nan,5.0,3.0,3.0,1,3.0,0.0
1990-09-01,3,0140,Calgary,nan,2.0,3.0,19.0,15,1.27,0.0
1990-09-01,3,0140,Calgary,nan,1.0,3.0,1.0,1,1.0,0.0
1990-12-01,4,0140,Calgary,nan,4.0,3.0,41.0,14,2.93,0.0
1990-12-01,4,0140,Calgary,nan,1.0,1.0,488.0,888,0.55,0.0
1990-12-01,4,0140,Calgary,nan,5.0,3.0,3.0,1,3.0,0.0
1990-12-01,4,0140,Calgary,,1.0,1.0,1.0,1,1.0,0.0
1990-12-01,4,0140,Calgary,nan,2.0,1.0,25.0,24,1.04,0.0
1990-12-01,4,0140,Calgary,nan,2.0,3.0,17.0,18,0.94,0.0
1991-03-01,1,0140,Calgary,nan,2.0,3.0,23.0,15,1.53,0.0
1991-03-01,1,0140,Calgary,nan,1.0,1.0,368.0,639,0.58,0.0
1991-03-01,1,0140,Calgary,nan,2.0,1.0,32.0,31,1.03,0.0
1991-03-01,1,0140,Calgary,nan,5.0,3.0,60.0,2,30.0,4.5
1991-03-01,1,0140,Calgary,nan,4.0,3.0,36.0,13,2.77,0.0
1991-06-01,2,0140,Calgary,nan,1.0,1.0,481.0,739,0.65,0.0
1991-06-01,2,0140,Calgary,nan,2.0,1.0,49.0,36,1.36,0.0
1991-06-01,2,0140,Calgary,nan,4.0,3.0,38.0,15,2.53,0.0
1991-06-01,2,0140,Calgary,nan,5.0,3.0,78.0,3,26.0,3.0
1991-06-01,2,0140,Calgary,nan,2.0,3.0,17.0,10,1.7,0.0
1991-09-01,3,0140,Calgary,nan,2.0,1.0,60.0,44,1.36,0.0
1991-09-01,3,0140,Calgary,nan,5.0,3.0,63.0,4,15.75,3.0
1991-09-01,3,0140,Calgary,nan,1.0,1.0,521.0,940,0.55,0.0
1991-09-01,3,0140,Calgary,nan,4.0,3.0,23.0,11,2.09,0.0
1991-09-01,3,0140,Calgary,nan,2.0,3.0,22.0,14,1.57,0.0
1991-12-01,4,0140,Calgary,nan,4.0,3.0,65.0,21,3.1,0.0
1991-12-01,4,0140,Calgary,nan,1.0,1.0,486.0,821,0.59,0.0
1991-12-01,4,0140,Calgary,nan,2.0,1.0,57.0,43,1.33,0.0
